Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
jdm-night-city,JDM Night City,"<p>The JDM Night City lifting strap is a statement piece built for the serious athlete. Designed with the JDM / Drift / Urban Night aesthetic in mind — every pull, every lift, every rep carries the energy of the art that inspires it. Premium cotton/polyester blend provides maximum grip and wrist support. Machine washable.</p><p><strong>Materials:</strong> 65% cotton, 35% polyester. Steel D-ring. Reinforced loop stitching.</p><p><strong>Benefits:</strong> Maximum wrist support · Superior grip · Quick-dry fabric · Built to last years</p>",Evolve Performance,Lifting Straps,"featured, JDM, Drift, Urban Night",TRUE,Size,XS/S,JDM-NIGHT-CITY-XSS,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,active
jdm-night-city,,,,,,,,M/L,JDM-NIGHT-CITY-ML,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
jdm-night-city,,,,,,,,XL/XXL,JDM-NIGHT-CITY-XLXXL,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
christ-redeemer-sunset,Christ-the-Redeemer Sunset,"<p>The Christ-the-Redeemer Sunset lifting strap is a statement piece built for the serious athlete. Designed with the Brazil / Spiritual / Sunset aesthetic in mind — every pull, every lift, every rep carries the energy of the art that inspires it. Premium cotton/polyester blend provides maximum grip and wrist support. Machine washable.</p><p><strong>Materials:</strong> 65% cotton, 35% polyester. Steel D-ring. Reinforced loop stitching.</p><p><strong>Benefits:</strong> Maximum wrist support · Superior grip · Quick-dry fabric · Built to last years</p>",Evolve Performance,Lifting Straps,"featured, Brazil, Spiritual, Sunset",TRUE,Size,XS/S,CHRIST-REDEEMER-SUNSET-XSS,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,active
christ-redeemer-sunset,,,,,,,,M/L,CHRIST-REDEEMER-SUNSET-ML,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
christ-redeemer-sunset,,,,,,,,XL/XXL,CHRIST-REDEEMER-SUNSET-XLXXL,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
neon-japan,Neon Japan,"<p>The Neon Japan lifting strap is a statement piece built for the serious athlete. Designed with the Harajuku / Neon / Cyberpunk Tokyo aesthetic in mind — every pull, every lift, every rep carries the energy of the art that inspires it. Premium cotton/polyester blend provides maximum grip and wrist support. Machine washable.</p><p><strong>Materials:</strong> 65% cotton, 35% polyester. Steel D-ring. Reinforced loop stitching.</p><p><strong>Benefits:</strong> Maximum wrist support · Superior grip · Quick-dry fabric · Built to last years</p>",Evolve Performance,Lifting Straps,"featured, Harajuku, Neon, Cyberpunk Tokyo",TRUE,Size,XS/S,NEON-JAPAN-XSS,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,active
neon-japan,,,,,,,,M/L,NEON-JAPAN-ML,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
neon-japan,,,,,,,,XL/XXL,NEON-JAPAN-XLXXL,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
knight-warrior,Knight Warrior,"<p>The Knight Warrior lifting strap is a statement piece built for the serious athlete. Designed with the Medieval / Dark Fantasy / Armored aesthetic in mind — every pull, every lift, every rep carries the energy of the art that inspires it. Premium cotton/polyester blend provides maximum grip and wrist support. Machine washable.</p><p><strong>Materials:</strong> 65% cotton, 35% polyester. Steel D-ring. Reinforced loop stitching.</p><p><strong>Benefits:</strong> Maximum wrist support · Superior grip · Quick-dry fabric · Built to last years</p>",Evolve Performance,Lifting Straps,"featured, Medieval, Dark Fantasy, Armored",TRUE,Size,XS/S,KNIGHT-WARRIOR-XSS,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,active
knight-warrior,,,,,,,,M/L,KNIGHT-WARRIOR-ML,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
knight-warrior,,,,,,,,XL/XXL,KNIGHT-WARRIOR-XLXXL,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
ninja-fire,Ninja Fire,"<p>The Ninja Fire lifting strap is a statement piece built for the serious athlete. Designed with the Shinobi / Fire / Anime Combat aesthetic in mind — every pull, every lift, every rep carries the energy of the art that inspires it. Premium cotton/polyester blend provides maximum grip and wrist support. Machine washable.</p><p><strong>Materials:</strong> 65% cotton, 35% polyester. Steel D-ring. Reinforced loop stitching.</p><p><strong>Benefits:</strong> Maximum wrist support · Superior grip · Quick-dry fabric · Built to last years</p>",Evolve Performance,Lifting Straps,"featured, Shinobi, Fire, Anime Combat",TRUE,Size,XS/S,NINJA-FIRE-XSS,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,active
ninja-fire,,,,,,,,M/L,NINJA-FIRE-ML,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
ninja-fire,,,,,,,,XL/XXL,NINJA-FIRE-XLXXL,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
military-green,Military Green Ops,"<p>The Military Green Ops lifting strap is a statement piece built for the serious athlete. Designed with the Tactical / Military / Operator aesthetic in mind — every pull, every lift, every rep carries the energy of the art that inspires it. Premium cotton/polyester blend provides maximum grip and wrist support. Machine washable.</p><p><strong>Materials:</strong> 65% cotton, 35% polyester. Steel D-ring. Reinforced loop stitching.</p><p><strong>Benefits:</strong> Maximum wrist support · Superior grip · Quick-dry fabric · Built to last years</p>",Evolve Performance,Lifting Straps,"featured, Tactical, Military, Operator",TRUE,Size,XS/S,MILITARY-GREEN-XSS,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,active
military-green,,,,,,,,M/L,MILITARY-GREEN-ML,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
military-green,,,,,,,,XL/XXL,MILITARY-GREEN-XLXXL,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
desert-war,Desert War,"<p>The Desert War lifting strap is a statement piece built for the serious athlete. Designed with the Desert Combat / War / Sand aesthetic in mind — every pull, every lift, every rep carries the energy of the art that inspires it. Premium cotton/polyester blend provides maximum grip and wrist support. Machine washable.</p><p><strong>Materials:</strong> 65% cotton, 35% polyester. Steel D-ring. Reinforced loop stitching.</p><p><strong>Benefits:</strong> Maximum wrist support · Superior grip · Quick-dry fabric · Built to last years</p>",Evolve Performance,Lifting Straps,"featured, Desert Combat, War, Sand",TRUE,Size,XS/S,DESERT-WAR-XSS,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,active
desert-war,,,,,,,,M/L,DESERT-WAR-ML,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
desert-war,,,,,,,,XL/XXL,DESERT-WAR-XLXXL,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
werewolf-blood-moon,Werewolf Blood Moon,"<p>The Werewolf Blood Moon lifting strap is a statement piece built for the serious athlete. Designed with the Dark Fantasy / Moon / Beast aesthetic in mind — every pull, every lift, every rep carries the energy of the art that inspires it. Premium cotton/polyester blend provides maximum grip and wrist support. Machine washable.</p><p><strong>Materials:</strong> 65% cotton, 35% polyester. Steel D-ring. Reinforced loop stitching.</p><p><strong>Benefits:</strong> Maximum wrist support · Superior grip · Quick-dry fabric · Built to last years</p>",Evolve Performance,Lifting Straps,"featured, Dark Fantasy, Moon, Beast",TRUE,Size,XS/S,WEREWOLF-BLOOD-MOON-XSS,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,active
werewolf-blood-moon,,,,,,,,M/L,WEREWOLF-BLOOD-MOON-ML,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
werewolf-blood-moon,,,,,,,,XL/XXL,WEREWOLF-BLOOD-MOON-XLXXL,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
soccer-stadium,Soccer Stadium,"<p>The Soccer Stadium lifting strap is a statement piece built for the serious athlete. Designed with the Football / Stadium / Energy aesthetic in mind — every pull, every lift, every rep carries the energy of the art that inspires it. Premium cotton/polyester blend provides maximum grip and wrist support. Machine washable.</p><p><strong>Materials:</strong> 65% cotton, 35% polyester. Steel D-ring. Reinforced loop stitching.</p><p><strong>Benefits:</strong> Maximum wrist support · Superior grip · Quick-dry fabric · Built to last years</p>",Evolve Performance,Lifting Straps,"featured, Football, Stadium, Energy",TRUE,Size,XS/S,SOCCER-STADIUM-XSS,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,active
soccer-stadium,,,,,,,,M/L,SOCCER-STADIUM-ML,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
soccer-stadium,,,,,,,,XL/XXL,SOCCER-STADIUM-XLXXL,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,
cyberpunk-girl,Cyberpunk Girl,"<p>The Cyberpunk Girl lifting strap is a statement piece built for the serious athlete. Designed with the Sci-Fi / Neon / Futuristic aesthetic in mind — every pull, every lift, every rep carries the energy of the art that inspires it. Premium cotton/polyester blend provides maximum grip and wrist support. Machine washable.</p><p><strong>Materials:</strong> 65% cotton, 35% polyester. Steel D-ring. Reinforced loop stitching.</p><p><strong>Benefits:</strong> Maximum wrist support · Superior grip · Quick-dry fabric · Built to last years</p>",Evolve Performance,Lifting Straps,"featured, Sci-Fi, Neon, Futuristic",TRUE,Size,XS/S,CYBERPUNK-GIRL-XSS,120,shopify,50,deny,manual,29.99,39.99,TRUE,TRUE,active
